kode_prov,kode_kab,kode_kec,kode_desa,kode_sls,kode_subsls,id_rt,id_art,r420a,r420b,r421,r421_desk,r422,r423,r424,r425,r426,r421_kode
14,1,10,10,1,0,93,1,1.0,1.0,03,KEBUN SAWIT,1.0,2.0,11,2.0,32.0,3.0
14,1,10,11,1,0,99,1,1.0,1.0,14,AMPERA RM,1.0,0.0,11,1.0,1.0,14.0
14,1,10,10,1,0,99,2,1.0,1.0,12,JUALAN PENTOL KUAH KELILING,0.0,1.0,11,1.0,32.0,12.0
14,1,10,11,2,0,5,1,1.0,1.0,03,KEBUN SAWIT,0.0,0.0,11,1.0,11.0,3.0
14,1,10,11,2,0,108,2,1.0,1.0,14,RUMAH MAKAN,2.0,1.0,01,2.0,1.0,14.0
14,1,10,11,2,0,112,1,1.0,1.0,03,KEBUN SAWIT,2.0,0.0,11,1.0,1.0,3.0
14,1,10,11,3,0,11,2,1.0,1.0,14,MENJUAL KUE KERING DAN BASAH,0.0,0.0,11,2.0,1.0,14.0
14,1,10,11,1,0,113,2,1.0,1.0,14,AYAM GEPREK,1.0,0.0,02,1.0,12.0,14.0
14,1,10,11,2,0,1,1,1.0,1.0,14,JUAL SARAPAN,0.0,0.0,11,1.0,1.0,14.0
14,1,10,11,2,0,29,1,1.0,1.0,12,SERVICE ELEKTRONIK,1.0,0.0,11,1.0,1.0,12.0
14,1,10,11,2,0,28,3,1.0,1.0,23,FOTOGRAFER,1.0,0.0,11,2.0,4.0,23.0
14,1,10,10,1,0,111,4,1.0,1.0,03,KEBUN KARET,0.0,1.0,11,1.0,11.0,3.0
14,1,10,11,2,0,46,2,1.0,1.0,12,AGEN PEMBAYARAN,0.0,0.0,11,1.0,1.0,12.0
14,1,10,11,3,0,8,2,1.0,1.0,12,PEDAGANG PAKAIAN,1.0,0.0,11,1.0,1.0,12.0
14,1,10,10,2,0,3,2,1.0,1.0,24,PELAMINAN,2.0,1.0,01,1.0,4.0,24.0
14,1,10,12,2,0,33,2,1.0,1.0,14,JUALAN CAKE,0.0,0.0,11,1.0,3.0,14.0
14,1,10,11,2,0,14,2,1.0,1.0,22,LABORATURIUM KLINIK,0.0,0.0,11,2.0,1.0,22.0
14,1,10,11,1,0,1,1,1.0,1.0,19,PERCETAKAN,1.0,0.0,10,1.0,12.0,19.0
14,1,10,11,2,0,41,1,1.0,1.0,19,CUCIAN MOBIL DAN MOTOR,4.0,0.0,11,1.0,1.0,19.0
14,1,10,11,3,0,51,1,1.0,1.0,03,KEBUN BUAH,2.0,0.0,11,2.0,1.0,3.0
14,1,10,10,3,0,75,2,1.0,1.0,14,KETRING,0.0,1.0,11,1.0,4.0,14.0
14,1,10,13,1,0,42,1,1.0,1.0,13,SUPIR TRAVEL,0.0,1.0,11,2.0,3.0,13.0
14,1,10,13,1,0,49,2,1.0,1.0,12,TOKO BAJU SENDIRI,0.0,0.0,11,1.0,7.0,12.0
14,1,10,11,2,0,63,1,1.0,1.0,03,KEBUN SAWIT,2.0,0.0,11,1.0,1.0,3.0
14,1,10,13,1,0,58,2,1.0,1.0,12,JUAL BUAH,0.0,1.0,11,1.0,3.0,12.0
14,1,10,11,2,0,64,3,1.0,1.0,14,JUAL MAKANAN DAN MINUMAN,0.0,2.0,11,2.0,1.0,14.0
14,1,10,11,2,0,79,1,1.0,1.0,12,DAGANG IKAN,0.0,1.0,11,1.0,1.0,12.0
14,1,10,13,2,0,30,1,1.0,3.0,12,JUALAN BUAH DAN KERUPUK,0.0,2.0,11,2.0,1.0,12.0
14,1,10,10,3,0,84,4,1.0,1.0,12,WARUNG HARIAN,1.0,2.0,02,2.0,7.0,12.0
14,1,10,13,1,0,62,1,1.0,1.0,24,TOKO FOTOCOPY DAN ATK,0.0,2.0,11,1.0,3.0,24.0
14,1,10,13,1,0,68,1,1.0,1.0,12,PERDAGANGAN BESAR DAN ECERAN SEMBAKO,1.0,2.0,11,3.0,19.0,12.0
14,1,10,13,1,0,70,1,1.0,1.0,14,JUALAN SATE,0.0,0.0,11,1.0,3.0,14.0
14,1,10,13,2,0,40,2,1.0,1.0,24,JASA MEMPERBAIKI ALAT ELEKTRONIK,0.0,1.0,11,1.0,3.0,24.0
14,1,10,13,2,0,41,1,1.0,1.0,12,JUALAN UDANG,0.0,2.0,11,2.0,3.0,12.0
14,1,10,13,2,0,37,1,1.0,1.0,12,JUALAN SATI KELILING,0.0,1.0,11,1.0,3.0,12.0
14,1,10,13,2,0,50,1,1.0,1.0,12,MENJUAL PUPUK PERTANIAN,0.0,1.0,11,2.0,7.0,12.0
14,1,10,13,2,0,51,1,1.0,1.0,12,MENJUAL PERAK DAN EMAS,0.0,2.0,11,2.0,1.0,12.0
14,1,10,13,2,0,66,1,1.0,1.0,03,KEBUN SAWIT MILIK PRIBADI,12.0,1.0,10,2.0,3.0,3.0
14,1,10,13,2,0,73,2,1.0,1.0,14,WARUNG MAKAN,1.0,1.0,11,1.0,3.0,14.0
14,1,10,13,1,0,45,3,1.0,1.0,12,KONTER PULSA,0.0,0.0,11,1.0,3.0,12.0
14,1,10,13,1,0,59,1,1.0,2.0,12,JUALAN MAINAN DAN AKSESORIS,0.0,1.0,11,1.0,3.0,12.0
14,1,10,11,1,0,4,2,1.0,1.0,12,JUALAN PULSA,0.0,0.0,11,1.0,16.0,12.0
14,1,10,14,1,0,34,1,1.0,1.0,12,PEDAGANG PAKAIAN,0.0,0.0,01,1.0,2.0,12.0
14,1,10,14,1,0,35,1,1.0,1.0,12,JUALAN BAJU,0.0,0.0,11,1.0,2.0,12.0
14,1,10,13,2,0,38,2,1.0,1.0,12,TOKO KELONTONG,0.0,2.0,11,1.0,6.0,12.0
14,1,10,13,1,0,64,2,1.0,1.0,14,JUALAN GORENGAN,1.0,2.0,11,1.0,3.0,14.0
14,1,10,11,1,0,36,2,1.0,1.0,19,LAUNDRY,0.0,0.0,11,1.0,1.0,19.0
14,1,10,13,1,0,66,1,1.0,1.0,12,TOKO BAJU,0.0,1.0,11,2.0,3.0,12.0
14,1,10,11,3,0,64,1,1.0,1.0,12,JUAL KAYU,0.0,0.0,10,2.0,1.0,12.0
14,1,10,13,2,0,39,2,1.0,1.0,24,USAHA LAUNDRY MILIK SENDIRI,0.0,1.0,11,1.0,6.0,24.0
14,1,10,13,2,0,48,1,1.0,1.0,12,WARUNG JAJANAN,0.0,2.0,11,2.0,1.0,12.0
14,1,10,13,2,0,56,1,1.0,1.0,12,MENJUAL BIBIT TANAMAN BUAH,0.0,1.0,10,1.0,7.0,12.0
14,1,10,13,3,0,19,1,1.0,1.0,12,JUALAN KACANG TUJIN,0.0,2.0,11,1.0,1.0,12.0
14,1,10,13,3,0,36,1,1.0,1.0,03,KE KEBUN SAWIT,2.0,2.0,11,2.0,3.0,3.0
14,1,10,14,1,0,79,1,1.0,1.0,13,SUPIR TRAVEL,0.0,0.0,11,2.0,1.0,13.0
14,1,10,14,2,0,82,1,1.0,1.0,03,KEBUN KARET ,0.0,0.0,11,1.0,1.0,3.0
14,1,10,14,2,0,63,1,1.0,1.0,03,PETANI KARET,0.0,0.0,11,1.0,1.0,3.0
14,1,10,13,3,0,27,1,1.0,1.0,19,SOPIR MOBIL RENTAL,0.0,1.0,11,1.0,1.0,19.0
14,1,10,13,3,0,41,2,1.0,1.0,12,TOKO ECERAN DAN GROSIR BARANG HARIAN ,1.0,2.0,11,4.0,3.0,12.0
14,1,10,13,3,0,46,1,1.0,1.0,12,JUALAN IKAN DAN SEAFOOD,0.0,1.0,11,1.0,3.0,12.0
14,1,10,12,1,0,6,1,1.0,1.0,12,JUALAN PERABOT FURNITURE,1.0,0.0,02,3.0,1.0,12.0
